"month","account","total_transfer_in","total_transfer_out","account_monthly_balance"
1,"9161839631096504","2483.37","1804.32","679.05"
2,"9161839631096504","0","0","679.05"
3,"9161839631096504","1572.97","58.78","2193.24"
4,"9161839631096504","79.85","0","2273.0899999999997"
5,"9161839631096504","0","0","2273.0899999999997"
6,"9161839631096504","824.58","0","3097.6699999999996"
8,"9161839631096504","2987.8","0","6085.469999999999"
9,"9161839631096504","0","134.92","5950.549999999999"
10,"9161839631096504","1536","0","7486.549999999999"
11,"9161839631096504","470.84","0","7957.389999999999"
12,"9161839631096504","4155.33","0","12112.72"
1,"9390205589247788","5509.110000000001","5759.869999999999","-250.7599999999984"
2,"9390205589247788","5271.55","0","5020.790000000002"
3,"9390205589247788","7235.9400000000005","1750.1299999999999","10506.600000000002"
4,"9390205589247788","5538.4800000000005","1032.8600000000001","15012.220000000003"
5,"9390205589247788","4661.7300000000005","2532.85","17141.100000000002"
6,"9390205589247788","4817.610000000001","120.74","21837.97"
7,"9390205589247788","1878.03","0","23716"
8,"9390205589247788","4032.0699999999997","66.35","27681.72"
9,"9390205589247788","735.1999999999999","2302.38","26114.54"
10,"9390205589247788","7215.259999999999","1032.2","32297.6"
11,"9390205589247788","8521.38","2814.07","38004.909999999996"
12,"9390205589247788","5195.12","433.31","42766.719999999994"
1,"9448124885629486","8308.21","3565.2","4743.009999999999"
2,"9448124885629486","5102.700000000001","227.32","9618.39"
3,"9448124885629486","6890.18","3840.73","12667.84"
4,"9448124885629486","6249.71","3376.98","15540.57"
5,"9448124885629486","3813.8700000000003","1260.94","18093.5"
6,"9448124885629486","3492.4199999999996","160.73","21425.19"
7,"9448124885629486","2356.1899999999996","3882.65","19898.73"
8,"9448124885629486","4519.92","1550.98","22867.67"
9,"9448124885629486","2264.3599999999997","2993.51","22138.519999999997"
10,"9448124885629486","509.09999999999997","2205.45","20442.17"
11,"9448124885629486","8917.99","157.91","29202.25"
12,"9448124885629486","1024.83","758.6800000000001","29468.4"
1,"9462613211888924","5430.299999999999","4201.4400000000005","1228.8599999999988"
2,"9462613211888924","2057.3900000000003","2641.3999999999996","644.8499999999995"
3,"9462613211888924","6848.53","3171.38","4321.999999999999"
4,"9462613211888924","6966.39","0","11288.39"
5,"9462613211888924","729.8399999999999","3419.1","8599.13"
6,"9462613211888924","3353.8199999999997","460.17","11492.779999999999"
7,"9462613211888924","6670.16","1484.06","16678.879999999997"
8,"9462613211888924","5988.24","728.61","21938.51"
9,"9462613211888924","7080.349999999999","1598.54","27420.32"
10,"9462613211888924","4681.63","0","32101.95"
11,"9462613211888924","1722.0800000000002","0","33824.03"
12,"9462613211888924","3270.62","355.3","36739.35"
1,"9807564234567284","3156.27","778.84","2377.43"
2,"9807564234567284","1236.84","2534.91","1079.36"
3,"9807564234567284","958.65","0","2038.0099999999998"
4,"9807564234567284","7895.110000000001","1287.15","8645.970000000001"
5,"9807564234567284","2658.76","1204.47","10100.260000000002"
6,"9807564234567284","4617.77","4850.8099999999995","9867.220000000003"
7,"9807564234567284","3537.14","812.13","12592.230000000003"
8,"9807564234567284","5331.259999999998","881.54","17041.95"
9,"9807564234567284","5104.83","0","22146.78"
10,"9807564234567284","6631.679999999999","825.05","27953.409999999996"
11,"9807564234567284","6415.540000000001","146.24","34222.71"
12,"9807564234567284","2340.9","1498.22","35065.39"
1,"10607045612774784","2817.46","870.19","1947.27"
2,"10607045612774784","539.3","425.54","2061.0299999999997"
3,"10607045612774784","3247.91","0","5308.94"
4,"10607045612774784","2870.9700000000003","1036.26","7143.65"
5,"10607045612774784","1483.19","0","8626.84"
6,"10607045612774784","2810.19","1849.27","9587.76"
7,"10607045612774784","1419.93","0","11007.69"
8,"10607045612774784","2869.38","0","13877.07"
9,"10607045612774784","0","0","13877.07"
10,"10607045612774784","0","2998.88","10878.189999999999"
11,"10607045612774784","2972.19","0","13850.38"
12,"10607045612774784","3215.1000000000004","0","17065.48"
1,"12225088533182584","3502.62","1929.52","1573.1"
2,"12225088533182584","5869.299999999999","720.72","6721.6799999999985"
3,"12225088533182584","9327.99","0","16049.669999999998"
4,"12225088533182584","4199.04","0","20248.71"
5,"12225088533182584","3438.5600000000004","3378.84","20308.43"
6,"12225088533182584","11910.68","1132.28","31086.83"
7,"12225088533182584","6075.219999999999","0","37162.05"
8,"12225088533182584","4182.38","7651.179999999999","33693.25"
9,"12225088533182584","11194.22","4005.1200000000003","40882.35"
10,"12225088533182584","2738.27","1226.33","42394.29"
11,"12225088533182584","6828.250000000001","3585.91","45636.630000000005"
12,"12225088533182584","8863.08","3426.4900000000002","51073.22"
1,"16219110008629412","15908.48","2624.89","13283.59"
2,"16219110008629412","3845.09","1541.81","15586.87"
3,"16219110008629412","6449.259999999999","1917.25","20118.88"
4,"16219110008629412","6133.959999999999","1890.59","24362.25"
5,"16219110008629412","2848.75","2574.03","24636.97"
6,"16219110008629412","6736.629999999999","131.03","31242.57"
7,"16219110008629412","6183.52","1869.44","35556.65"
8,"16219110008629412","1120.8600000000001","1482.19","35195.32"
9,"16219110008629412","6516.400000000001","4262.860000000001","37448.86"
10,"16219110008629412","13905.57","3025.94","48328.49"
11,"16219110008629412","6166.110000000001","2328.36","52166.24"
12,"16219110008629412","4438.6","2124.2200000000003","54480.619999999995"
1,"16602732060529808","2364.64","0","2364.64"
2,"16602732060529808","0","0","2364.64"
4,"16602732060529808","0","0","2364.64"
5,"16602732060529808","686.15","0","3050.79"
6,"16602732060529808","0","262.34","2788.45"
8,"16602732060529808","0","0","2788.45"
9,"16602732060529808","1022.75","0","3811.2"
10,"16602732060529808","0","167.78","3643.4199999999996"
11,"16602732060529808","1118.9","0","4762.32"
12,"16602732060529808","0","0","4762.32"
1,"16898583974302990","3630.91","2563.29","1067.62"
2,"16898583974302990","3774.21","4491.09","350.7399999999998"
3,"16898583974302990","1363.18","678.76","1035.1599999999999"
4,"16898583974302990","3845.92","2026.9","2854.18"
5,"16898583974302990","4353.26","2183.79","5023.65"
6,"16898583974302990","8473.37","3882.52","9614.5"
7,"16898583974302990","9523.769999999999","5049.91","14088.359999999999"
8,"16898583974302990","2735.74","2661.23","14162.869999999999"
9,"16898583974302990","8255.66","1753.29","20665.239999999998"
10,"16898583974302990","6520.79","1020.8000000000001","26165.229999999996"
11,"16898583974302990","0","3427.2400000000002","22737.989999999994"
12,"16898583974302990","8614.65","1197.3","30155.339999999993"
1,"17905154893500652","6671.88","5454.85","1217.0299999999997"
2,"17905154893500652","7899.87","0","9116.9"
3,"17905154893500652","1752.52","3637.6","7231.82"
4,"17905154893500652","6774.43","760.18","13246.07"
5,"17905154893500652","6208.6","0","19454.67"
6,"17905154893500652","7941.21","3562.46","23833.42"
7,"17905154893500652","4878.97","6565.24","22147.149999999998"
8,"17905154893500652","8496.8","5032.16","25611.789999999997"
9,"17905154893500652","7163.1","1680.9399999999998","31093.949999999997"
10,"17905154893500652","9106.470000000001","5908.1900000000005","34292.229999999996"
11,"17905154893500652","5582.96","3408.83","36466.35999999999"
12,"17905154893500652","10595.74","7391.389999999999","39670.70999999999"
2,"19048274450778128","1506.01","835.19","670.8199999999999"
3,"19048274450778128","0","0","670.8199999999999"
4,"19048274450778128","374.37","0","1045.19"
5,"19048274450778128","0","0","1045.19"
7,"19048274450778128","858.38","0","1903.5700000000002"
8,"19048274450778128","0","0","1903.5700000000002"
9,"19048274450778128","1284.57","0","3188.1400000000003"
10,"19048274450778128","0","802.62","2385.5200000000004"
11,"19048274450778128","0","2196.13","189.39000000000033"
12,"19048274450778128","0","0","189.39000000000033"
1,"19386628231177136","2077.74","0","2077.74"
2,"19386628231177136","3043.95","0","5121.69"
3,"19386628231177136","3402.7200000000003","1253.95","7270.46"
4,"19386628231177136","3637.3","3877.05","7030.71"
5,"19386628231177136","0","1425.03","5605.68"
6,"19386628231177136","2619.02","5164.21","3060.4900000000002"
7,"19386628231177136","4126.4400000000005","3551.11","3635.8200000000006"
8,"19386628231177136","2989.98","237.85","6387.950000000001"
9,"19386628231177136","7733.009999999999","1117.9","13003.06"
10,"19386628231177136","4448.73","23.08","17428.71"
11,"19386628231177136","3508.29","1533.8200000000002","19403.18"
12,"19386628231177136","4125.23","0","23528.41"
1,"19931862076924200","5632.96","3064.2900000000004","2568.6699999999996"
2,"19931862076924200","1683.4","1239.52","3012.5499999999997"
3,"19931862076924200","2861.2200000000003","1628.5500000000002","4245.219999999999"
4,"19931862076924200","19.06","0","4264.28"
5,"19931862076924200","4488.45","2840.5600000000004","5912.169999999999"
6,"19931862076924200","1983.74","5711.66","2184.249999999999"
7,"19931862076924200","3095.65","0","5279.9"
8,"19931862076924200","7013.389999999999","0","12293.289999999999"
9,"19931862076924200","8170.88","0","20464.17"
10,"19931862076924200","2588.75","5059.6","17993.32"
11,"19931862076924200","1960.55","5869.8","14084.07"
12,"19931862076924200","1364.43","3374.67","12073.83"
1,"21068538269307996","217.85","0","217.85"
2,"21068538269307996","0","1254.54","-1036.69"
3,"21068538269307996","1930.87","0","894.1799999999998"
4,"21068538269307996","0","3413.3199999999997","-2519.14"
5,"21068538269307996","3605.33","2057.1800000000003","-970.9900000000002"
6,"21068538269307996","2274.02","972.62","330.40999999999985"
7,"21068538269307996","3280.17","0","3610.58"
8,"21068538269307996","0","3117.96","492.6199999999999"
9,"21068538269307996","3119.49","0","3612.1099999999997"
10,"21068538269307996","0","0","3612.1099999999997"
11,"21068538269307996","3974.8500000000004","401.28","7185.68"
12,"21068538269307996","3362.47","1971.46","8576.69"
1,"21257040197113732","4585.54","0","4585.54"
2,"21257040197113732","2894.15","2871.14","4608.55"
3,"21257040197113732","2770.66","0","7379.21"
4,"21257040197113732","1919.05","0","9298.26"
5,"21257040197113732","2412.15","0","11710.41"
6,"21257040197113732","158.65","0","11869.06"
7,"21257040197113732","144.18","2965.46","9047.779999999999"
8,"21257040197113732","8408.869999999999","0","17456.649999999998"
9,"21257040197113732","2986.67","836.37","19606.949999999997"
10,"21257040197113732","2493.32","557.9","21542.369999999995"
11,"21257040197113732","3716.58","0","25258.949999999997"
12,"21257040197113732","5334.7","0","30593.649999999998"
1,"22738635699584700","12456.289999999999","0","12456.289999999999"
2,"22738635699584700","13626.02","2551.85","23530.46"
3,"22738635699584700","13222.98","3816.2900000000004","32937.149999999994"
4,"22738635699584700","8235.91","325.5","40847.56"
5,"22738635699584700","6707.160000000001","3985.98","43568.74"
6,"22738635699584700","4728.8","3171.74","45125.799999999996"
7,"22738635699584700","3500.75","3644.16","44982.39"
8,"22738635699584700","8468.380000000001","996.8","52453.97"
9,"22738635699584700","3480.13","555.79","55378.31"
10,"22738635699584700","5327.52","1660.1799999999998","59045.65"
11,"22738635699584700","3487.58","2666.18","59867.05"
12,"22738635699584700","9066.64","2859.3800000000006","66074.31"
1,"24454083555707500","67.57","0","67.57"
2,"24454083555707500","1128.95","0","1196.52"
3,"24454083555707500","2583.86","0","3780.38"
4,"24454083555707500","1553.06","0","5333.4400000000005"
5,"24454083555707500","1889.21","0","7222.650000000001"
6,"24454083555707500","1493.01","1326.44","7389.22"
7,"24454083555707500","2131.34","1134.21","8386.35"
8,"24454083555707500","4567.65","0","12954"
9,"24454083555707500","1945.98","0","14899.98"
10,"24454083555707500","4746.360000000001","0","19646.34"
11,"24454083555707500","1669.16","0","21315.5"
12,"24454083555707500","0","0","21315.5"
1,"25311546418431616","5728.7","1212.6","4516.1"
2,"25311546418431616","8840.21","5345.889999999999","8010.42"
3,"25311546418431616","7313.820000000001","0","15324.240000000002"
4,"25311546418431616","4842.95","922.4","19244.79"
5,"25311546418431616","7344.9800000000005","1657.79","24931.980000000003"
6,"25311546418431616","3957.34","0","28889.320000000003"
7,"25311546418431616","4477.969999999999","0","33367.29"
8,"25311546418431616","4592.089999999999","3042.45","34916.93"
9,"25311546418431616","4192.469999999999","0","39109.4"
10,"25311546418431616","5616.18","1967.6000000000001","42757.98"
11,"25311546418431616","7839.550000000001","4226.12","46371.41"
12,"25311546418431616","3299.8900000000003","2586.98","47084.32000000001"
1,"26294862298453776","9345.590000000002","1936.96","7408.630000000002"
2,"26294862298453776","6046.01","1833.97","11620.670000000002"
3,"26294862298453776","3764.2299999999996","367.88","15017.02"
4,"26294862298453776","5155.5599999999995","2032.1399999999999","18140.44"
5,"26294862298453776","7146.47","1735.73","23551.18"
6,"26294862298453776","2481.4","0","26032.58"
7,"26294862298453776","5304.96","961.91","30375.63"
8,"26294862298453776","12877.070000000002","1859.89","41392.810000000005"
9,"26294862298453776","11213.18","0","52605.990000000005"
10,"26294862298453776","9631.68","239.52","61998.15000000001"
11,"26294862298453776","242.68","2218.91","60021.920000000006"
12,"26294862298453776","7320.8","0","67342.72"
1,"26891589648478016","1962.73","2651.74","-689.0099999999998"
2,"26891589648478016","0","0","-689.0099999999998"
3,"26891589648478016","1979.54","48.81","1241.7200000000003"
4,"26891589648478016","1598.8","0","2840.5200000000004"
5,"26891589648478016","1863.72","1890.36","2813.8800000000006"
6,"26891589648478016","3332.6099999999997","1281","4865.49"
7,"26891589648478016","461.26","0","5326.75"
8,"26891589648478016","2656.88","1922.41","6061.22"
9,"26891589648478016","0","0","6061.22"
10,"26891589648478016","370.67","0","6431.89"
11,"26891589648478016","5137.92","0","11569.810000000001"
12,"26891589648478016","1398.7","319.3","12649.210000000001"
1,"28099442614623548","0","0","0"
3,"28099442614623548","2775.2","0","2775.2"
5,"28099442614623548","0","0","2775.2"
7,"28099442614623548","0","0","2775.2"
8,"28099442614623548","494.46999999999997","588.16","2681.5099999999998"
9,"28099442614623548","824.34","0","3505.85"
10,"28099442614623548","1953.43","1304.06","4155.22"
11,"28099442614623548","0","0","4155.22"
12,"28099442614623548","0","0","4155.22"
1,"29766392739124468","4841.51","115.81","4725.7"
2,"29766392739124468","8399.85","758.03","12367.52"
3,"29766392739124468","3335.79","4256.530000000001","11446.779999999999"
4,"29766392739124468","3243.42","3531.89","11158.31"
5,"29766392739124468","2310.62","738.65","12730.279999999999"
6,"29766392739124468","7268.34","1414.25","18584.37"
7,"29766392739124468","4416.42","1092.3","21908.489999999998"
8,"29766392739124468","5173.8","365.17","26717.12"
9,"29766392739124468","0","0","26717.12"
10,"29766392739124468","4771.5","2348.7799999999997","29139.84"
11,"29766392739124468","2593.89","1714.8","30018.93"
12,"29766392739124468","4631.55","152.71","34497.770000000004"
1,"30145104489878324","843.1","1675.73","-832.63"
2,"30145104489878324","1802.47","1144.96","-175.12"
3,"30145104489878324","4315.96","1121.85","3018.9900000000002"
4,"30145104489878324","1425.46","0","4444.450000000001"
5,"30145104489878324","0","0","4444.450000000001"
6,"30145104489878324","4311.790000000001","453.61","8302.630000000001"
7,"30145104489878324","0","886.85","7415.780000000001"
8,"30145104489878324","3719.37","0","11135.150000000001"
9,"30145104489878324","33.69","1848.11","9320.730000000001"
10,"30145104489878324","1177.78","621.11","9877.400000000001"
11,"30145104489878324","1672.08","0","11549.480000000001"
12,"30145104489878324","3529.04","0","15078.52"
1,"32862936640708872","4593.719999999999","6139.870000000001","-1546.1500000000015"
2,"32862936640708872","6761.05","4230.12","984.7799999999988"
3,"32862936640708872","6708.54","960.81","6732.509999999998"
4,"32862936640708872","5310.17","0","12042.679999999998"
5,"32862936640708872","11064.02","1606.69","21500.01"
6,"32862936640708872","8573.6","2977.0600000000004","27096.55"
7,"32862936640708872","11055.630000000001","1542.16","36610.020000000004"
8,"32862936640708872","7173.64","3493.2799999999997","40290.380000000005"
9,"32862936640708872","3594.16","1076.12","42808.420000000006"
10,"32862936640708872","4558.41","40.81","47326.020000000004"
11,"32862936640708872","8364.119999999999","2127.02","53563.12"
12,"32862936640708872","8072.54","5611.620000000001","56024.04"
1,"33244542453658892","3007.6099999999997","3129.12","-121.51000000000022"
2,"33244542453658892","2671.29","0","2549.7799999999997"
3,"33244542453658892","3394.5699999999997","1602.58","4341.7699999999995"
4,"33244542453658892","1657.36","1183.47","4815.66"
5,"33244542453658892","5384.9","0","10200.56"
6,"33244542453658892","389.34","1545.08","9044.82"
7,"33244542453658892","3276.11","3150.59","9170.34"
8,"33244542453658892","1152.77","1832.31","8490.8"
9,"33244542453658892","1316.3400000000001","175.1","9632.039999999999"
10,"33244542453658892","1091.27","361.87","10361.439999999999"
11,"33244542453658892","6100.96","1506.85","14955.55"
12,"33244542453658892","5983.890000000001","1120.9299999999998","19818.510000000002"
1,"33480979274858928","3706.87","2471.51","1235.3599999999997"
2,"33480979274858928","2361.62","1823.07","1773.9099999999996"
3,"33480979274858928","4274.98","0","6048.889999999999"
4,"33480979274858928","3149.74","5020.56","4178.069999999999"
5,"33480979274858928","7286.93","1343.15","10121.849999999999"
6,"33480979274858928","2460.4","2399.3900000000003","10182.859999999999"
7,"33480979274858928","1671.69","0","11854.55"
8,"33480979274858928","3444.69","27.79","15271.449999999999"
9,"33480979274858928","3957.3599999999997","5897","13331.809999999998"
10,"33480979274858928","3788.42","639.56","16480.67"
11,"33480979274858928","4359.2","2503.42","18336.449999999997"
12,"33480979274858928","7544.86","1524.38","24356.929999999997"
1,"34118208990522820","2623.29","0","2623.29"
2,"34118208990522820","1509.07","592.7","3539.66"
3,"34118208990522820","0","2250.09","1289.5699999999997"
4,"34118208990522820","5838.99","1346.64","5781.919999999999"
5,"34118208990522820","394.9","240.49","5936.329999999999"
6,"34118208990522820","4773.85","0","10710.18"
7,"34118208990522820","3373.55","1512.79","12570.94"
8,"34118208990522820","0","0","12570.94"
9,"34118208990522820","3393.05","0","15963.990000000002"
10,"34118208990522820","984.86","0","16948.850000000002"
11,"34118208990522820","631.5","955.18","16625.170000000002"
12,"34118208990522820","2450.45","0","19075.620000000003"
1,"34562962206624268","590.02","0","590.02"
2,"34562962206624268","0","1503.29","-913.27"
3,"34562962206624268","970.17","1714.05","-1657.15"
4,"34562962206624268","1992.88","0","335.73"
5,"34562962206624268","5824.43","0","6160.16"
6,"34562962206624268","1735.21","617.87","7277.5"
7,"34562962206624268","2340.12","0","9617.619999999999"
8,"34562962206624268","5000.17","63.1","14554.689999999999"
9,"34562962206624268","1440.21","1337.69","14657.21"
10,"34562962206624268","843.2","0","15500.41"
11,"34562962206624268","929.1700000000001","0","16429.58"
12,"34562962206624268","1662.45","0","18092.030000000002"
1,"35562985794359408","5255.75","1787.82","3467.9300000000003"
2,"35562985794359408","2874.51","944.95","5397.490000000001"
3,"35562985794359408","4336.68","621.58","9112.59"
4,"35562985794359408","957.26","497.59","9572.26"
5,"35562985794359408","221.35","4754.360000000001","5039.25"
6,"35562985794359408","6142.49","1313.6999999999998","9868.04"
7,"35562985794359408","6850.34","0","16718.38"
8,"35562985794359408","419.94","532.77","16605.55"
9,"35562985794359408","1544.2199999999998","1391.59","16758.18"
10,"35562985794359408","5067.7","872.74","20953.14"
11,"35562985794359408","1847.89","1262.72","21538.309999999998"
12,"35562985794359408","3386.09","0","24924.399999999998"
1,"36487975932472424","2084.6400000000003","1758.78","325.86000000000035"
2,"36487975932472424","3303.66","1064.11","2565.4100000000008"
3,"36487975932472424","2001.79","0","4567.200000000001"
4,"36487975932472424","2213.4900000000002","3995.37","2785.320000000001"
5,"36487975932472424","3796.98","2827.42","3754.880000000001"
6,"36487975932472424","2232.5299999999997","1769.14","4218.27"
7,"36487975932472424","1657.8","362.06","5514.01"
